% latex table generated in R 3.0.0 by xtable 1.7-1 package
% Sat Jun  1 11:35:01 2013
\begin{table}[ht]
\centering
\begin{tabular}{lllllllllll}
  \hline
  \hline
TrueIC & FittedIC & True Value & $\hat{\theta}$ & $SE_\theta$ & $\hat{SE}$ & Bias & RB & RMSE & cov & pow \\ 
  ModelImplied & ModelImplied & 1.2 & 1.2 & 0.05 & 0.05 & 0 & 0 & 0.05 & 0.95 & 1 \\ 
  ModelImplied & ModelImplied & 0.8 & 0.8 & 0.05 & 0.05 & 0 & 0 & 0.05 & 0.94 & 1 \\ 
  ModelImplied & ModelImplied & 0.9 & 0.9 & 0.04 & 0.04 & 0 & 0 & 0.04 & 0.94 & 1 \\ 
  ModelImplied & ModelImplied & 1.1 & 1.1 & 0.04 & 0.04 & 0 & 0 & 0.04 & 0.97 & 1 \\ 
  ModelImplied & ModelImplied & 1 & 0.84 & 0.07 & 0.08 & -0.16 & -0.16 & 0.18 & 0.43 & 1 \\ 
  ModelImplied & ModelImplied & 0.4 & 0.34 & 0.05 & 0.05 & -0.06 & -0.16 & 0.08 & 0.69 & 1 \\ 
  ModelImplied & ModelImplied & 1 & 0.97 & 0.09 & 0.08 & -0.03 & -0.03 & 0.09 & 0.9 & 1 \\ 
  ModelImplied & ModelImplied & 0.5 & 0.5 & 0.03 & 0.03 & 0 & 0 & 0.03 & 0.96 & 1 \\ 
  ModelImplied & ModelImplied & -0.3 & -0.3 & 0.03 & 0.03 & 0 & 0.01 & 0.03 & 0.95 & 1 \\ 
  ModelImplied & ModelImplied & -0.1 & -0.1 & 0.03 & 0.03 & 0 & -0.01 & 0.03 & 0.95 & 0.84 \\ 
  ModelImplied & ModelImplied & 0.6 & 0.6 & 0.03 & 0.03 & 0 & -0.01 & 0.03 & 0.93 & 1 \\ 
  ModelImplied & ModelImplied & 0.8 & 0.8 & 0.05 & 0.06 & 0 & 0 & 0.05 & 0.96 & 1 \\ 
  ModelImplied & ModelImplied & 0.6 & 0.6 & 0.07 & 0.07 & 0 & -0.01 & 0.07 & 0.94 & 1 \\ 
  ModelImplied & ModelImplied & 2 & 2 & 0.1 & 0.1 & 0 & 0 & 0.1 & 0.93 & 1 \\ 
  ModelImplied & ModelImplied & 1 & 0.99 & 0.06 & 0.06 & -0.01 & -0.01 & 0.06 & 0.96 & 1 \\ 
  ModelImplied & ModelImplied & 1.5 & 1.5 & 0.08 & 0.08 & 0 & 0 & 0.08 & 0.94 & 1 \\ 
  ModelImplied & ModelImplied & 0.4 & 0.4 & 0.05 & 0.05 & 0 & 0 & 0.05 & 0.95 & 1 \\ 
  ModelImplied & FreeParm & 1.2 & 1.2 & 0.05 & 0 & 0 & 0 & 0.05 & 0.4 & 1 \\ 
  ModelImplied & FreeParm & 0.8 & 0.8 & 0.05 & 0 & 0 & 0 & 0.05 & 0.39 & 1 \\ 
  ModelImplied & FreeParm & 0.9 & 0.9 & 0.04 & 1.49 & 0 & 0 & 0.04 & 1 & 1 \\ 
  ModelImplied & FreeParm & 1.1 & 1.1 & 0.04 & 0.06 & 0 & 0 & 0.04 & 0.65 & 1 \\ 
  ModelImplied & FreeParm & 1 & 0.84 & 0.07 & 1.56 & -0.16 & -0.16 & 0.18 & 1 & 1 \\ 
  ModelImplied & FreeParm & 0.4 & 0.34 & 0.05 & 0.05 & -0.06 & -0.16 & 0.08 & 0.69 & 1 \\ 
  ModelImplied & FreeParm & 1 & 0.97 & 0.09 & 0.05 & -0.03 & -0.03 & 0.09 & 0.68 & 1 \\ 
  ModelImplied & FreeParm & 0.5 & 0.5 & 0.03 & 0.04 & 0 & 0 & 0.03 & 0.97 & 1 \\ 
